run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,num_noise_realizations,error_message
batch_M1_N8_p0.1000_dephasing,1,8,0.1,dephasing,3,15,0.875,1.0,8192,aer_simulator,12,15,8,
batch_M1_N8_p0.2000_depolarizing,1,8,0.2,depolarizing,3,15,0.75,1.0,8192,aer_simulator,12,15,8,
batch_M1_N8_p0.2000_dephasing,1,8,0.2,dephasing,3,15,0.75,1.0,8192,aer_simulator,12,15,8,
batch_M1_N8_p0.3000_depolarizing,1,8,0.3,depolarizing,3,15,0.75,1.0,8192,aer_simulator,12,15,8,
batch_M1_N8_p0.3000_dephasing,1,8,0.3,dephasing,3,15,0.625,1.0,8192,aer_simulator,12,15,8,
batch_M1_N8_p0.4000_depolarizing,1,8,0.4,depolarizing,3,15,0.875,1.0,8192,aer_simulator,12,15,8,
batch_M1_N8_p0.4000_dephasing,1,8,0.4,dephasing,3,15,0.625,1.0,8192,aer_simulator,12,15,8,
batch_M1_N8_p0.5000_depolarizing,1,8,0.5,depolarizing,3,15,0.75,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.5000_dephasing,1,8,0.5,dephasing,3,15,0.5,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.6000_depolarizing,1,8,0.6,depolarizing,3,15,0.625,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.6000_dephasing,1,8,0.6,dephasing,3,15,0.375,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.7000_depolarizing,1,8,0.7,depolarizing,3,15,0.375,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.7000_dephasing,1,8,0.7,dephasing,3,15,0.125,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.8000_depolarizing,1,8,0.8,depolarizing,3,15,0.375,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.8000_dephasing,1,8,0.8,dephasing,3,15,0.125,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.9000_depolarizing,1,8,0.9,depolarizing,3,15,0.5,1.0,8192,aer_simulator,13,15,8,
batch_M1_N8_p0.9000_dephasing,1,8,0.9,dephasing,3,15,0.125,1.0,8192,aer_simulator,13,15,8,
batch_M1_N16_p0.0100_depolarizing,1,16,0.01,depolarizing,4,31,1.0,1.0,8192,aer_simulator,15,31,8,
